GID_2,exercise_year,exercise_label,phase_class,population,ndvi_mean_6m,rainfall_sum_6m,lst_mean_6m,nightlight_mean_6m,ndvi_mean_3m,rainfall_sum_3m,conflict_events_6m,conflict_fatalities_6m,state,lga
NGA.23.13_1,2025,Sep-Dec,2.0,97362.0,0.5936303968400791,814.0729742979769,28.162915457755663,0.2950687074993021,0.649093444654401,564.1198952047491,0,0,Kogi,Mopa-Muro
NGA.23.14_1,2025,Sep-Dec,3.0,282470.0,0.4422576629544469,715.947387618208,26.64607591438731,0.3127947124392973,0.3641117272543686,454.7381064820715,0,0,Kogi,Ofu
NGA.23.15_1,2025,Sep-Dec,3.0,58679.0,0.4997848865673697,814.2507560384666,27.023522450909287,0.4468189933019508,0.4333676380844019,540.0738162368621,0,0,Kogi,Ogori/Magongo
NGA.23.16_1,2025,Sep-Dec,3.0,329785.0,0.5344695672453634,783.3051150628888,28.481874908337687,0.4786647709990341,0.5701679936969387,548.2980357171525,0,0,Kogi,Okehi
NGA.23.17_1,2025,Sep-Dec,3.0,480254.0,0.5351982217428856,776.7295993380374,27.72231520780604,0.4306616893592147,0.5270066542454678,511.7770705226779,0,0,Kogi,Okene
NGA.23.18_1,2025,Sep-Dec,3.0,233734.0,0.4654577735500389,739.6216446929132,26.996254160622502,0.2970177393330787,0.3297434948251193,472.3861064801364,0,0,Kogi,Olamaboro
NGA.23.19_1,2025,Sep-Dec,3.0,216906.0,0.5451420409135282,823.7462138260072,27.964142631927217,0.2884821206303682,0.5568482688133516,601.6259024097754,1,2,Kogi,Omala
NGA.23.1_1,2025,Sep-Dec,3.0,320388.0,0.5043791787115938,755.9928034976139,29.14113573906361,0.5069190782433167,0.5219268351965822,527.7800960448731,0,0,Kogi,Adavi
NGA.23.20_1,2025,Sep-Dec,2.0,217780.0,0.5922517767872487,784.848332517121,28.407119187817127,0.3087933756060214,0.6564129467801558,540.6551112038484,0,0,Kogi,Yagba East
NGA.23.21_1,2025,Sep-Dec,2.0,206416.0,0.566161486577258,730.0426918003423,30.01194279177676,0.312258035379993,0.6467529011340436,487.08699270438046,0,0,Kogi,Yagba West
NGA.23.2_1,2025,Sep-Dec,3.0,180628.0,0.4659790439585511,763.026985796713,28.74824512537244,0.3948821515417275,0.4604173642571164,525.4207528238483,0,0,Kogi,Ajaokuta
NGA.23.3_1,2025,Sep-Dec,3.0,392617.0,0.5100152877131517,776.053129593101,27.35921213669272,0.3179102426887661,0.4453120126316817,532.3336110207985,0,0,Kogi,Ankpa
NGA.23.4_1,2025,Sep-Dec,3.0,206088.0,0.4813357204823907,787.1710849146286,28.599939975001927,0.3138228246834968,0.4963568961823499,566.9858402915376,0,0,Kogi,Bassa
NGA.23.5_1,2025,Sep-Dec,3.0,384968.0,0.489002715926262,784.745717873877,27.07789526870464,0.3105070647154781,0.4141640889832703,529.065283774399,0,0,Kogi,Dekina
NGA.23.6_1,2025,Sep-Dec,3.0,188168.0,0.366042149057709,808.2150586519234,27.673831520161773,0.2770631205339038,0.3181647990033128,522.6658873131529,0,0,Kogi,Ibaji
NGA.23.7_1,2025,Sep-Dec,3.0,117687.0,0.3361586310967393,699.3745334759118,27.16535795843055,0.313473523723785,0.3484694933980058,461.978610723353,0,0,Kogi,Idah
NGA.23.8_1,2025,Sep-Dec,3.0,188168.0,0.3789077362564683,735.4354495472375,27.6471372657995,0.2764446838557124,0.2985360002399203,467.7213203825699,0,0,Kogi,Igalamela-Odolu
NGA.23.9_1,2025,Sep-Dec,2.0,174946.0,0.5792620146755229,864.3109002747418,26.90015868145608,0.398752066637896,0.602354797892079,612.1187568080638,0,0,Kogi,Ijumu
NGA.24.10_1,2025,Sep-Dec,2.0,97581.0,0.5810659700354837,704.223942641202,27.86400399066172,0.3199385504366841,0.6088358488893234,426.6205666898453,0,0,Kwara,Isin
NGA.24.11_1,2025,Sep-Dec,2.0,203466.0,0.4561070615645513,653.4608487795936,32.06225085384291,0.3130793405078445,0.5495364001331685,430.73743809107606,0,0,Kwara,Kaiama
NGA.24.12_1,2025,Sep-Dec,2.0,178333.0,0.4750611368712538,617.069083884798,31.53010905502811,0.3351442151751697,0.539363839812456,350.92085252578386,0,0,Kwara,Moro
NGA.24.13_1,2025,Sep-Dec,2.0,145988.0,0.441301039140862,627.6601370447734,28.17048585549419,0.7466697291903476,0.4144923738919584,313.8874116022617,0,0,Kwara,Offa
NGA.24.14_1,2025,Sep-Dec,2.0,158978.0,0.5912467034414547,701.7901196413759,29.028557867680306,0.313814209407752,0.6369872582369672,445.7633694982344,0,0,Kwara,Oke-Ero
NGA.24.15_1,2025,Sep-Dec,2.0,93428.0,0.5131731558306863,666.3911215530113,27.45077963189904,0.4178449404598778,0.4926196986884464,342.1476945867839,0,0,Kwara,Oyun
NGA.24.16_1,2025,Sep-Dec,2.0,181830.0,0.5064768691680995,652.8534196315046,31.150112774979217,0.3012075993037569,0.6034574140335427,450.9620483833184,0,0,Kwara,Pategi
NGA.24.1_1,2025,Sep-Dec,2.0,209877.0,0.4995151504430743,636.430427738554,29.23001666574032,0.5686387509621391,0.5081853186000779,326.54738606893443,0,0,Kwara,Asa
NGA.24.2_1,2025,Sep-Dec,2.0,347889.0,0.4524147854403328,753.1656347256296,30.497197576424185,0.3056024958109855,0.4658326481716523,458.01691638177454,0,0,Kwara,Baruten
NGA.24.3_1,2025,Sep-Dec,2.0,339368.0,0.4677867634175773,587.1110723395277,32.23797761770375,0.3277559506222707,0.578421966091081,371.4341379376901,0,0,Kwara,Edu
NGA.24.4_1,2025,Sep-Dec,2.0,91597.0,0.6233928227510417,717.0090801327847,28.096272744498123,0.3030054889424092,0.6763738217831131,449.278461623965,0,0,Kwara,Ekiti
NGA.24.5_1,2025,Sep-Dec,2.0,344974.0,0.5277332666795005,688.6509878286686,30.52160824390773,0.3152038712561778,0.6120110355305358,420.4787371184004,0,0,Kwara,Ifelodun
NGA.24.6_1,2025,Sep-Dec,2.0,349234.0,0.4412400742207193,680.4359145330407,30.778631326609062,0.7889239961180708,0.4794767292463741,387.08744418516267,1,1,Kwara,Ilorin East
NGA.24.7_1,2025,Sep-Dec,2.0,352150.0,0.4774145267069167,689.8689667911257,29.795864147809592,1.0629562213289356,0.514113964260264,375.88190582966513,0,0,Kwara,Ilorin South
NGA.24.8_1,2025,Sep-Dec,2.0,614720.0,0.3211277626278478,658.5784215768181,31.52792980784694,3.0218322981912835,0.355471587669047,343.0899325171328,0,0,Kwara,Ilorin West
NGA.24.9_1,2025,Sep-Dec,2.0,248444.0,0.5339623070593877,704.7543859462221,27.779722115316115,0.3779942811578194,0.511551223693073,403.0883464631495,0,0,Kwara,Irepodun
NGA.25.10_1,2025,Sep-Dec,2.0,1397510.61340723,0.2060474331602231,882.9496832406967,31.837878003172094,11.819618436487204,0.2124085670321215,478.65055173275016,0,0,Lagos,Ifako/Ijaye
NGA.25.11_1,2025,Sep-Dec,2.0,1218011.41732608,0.2241592966998666,945.827340163664,33.72615132706579,20.688493379107985,0.2163337930251695,523.8528191206191,0,0,Lagos,Ikeja
NGA.25.12_1,2025,Sep-Dec,2.0,1293724.34837453,0.3783624220863715,1019.808523635944,28.27279024372669,5.585127286312059,0.3443731008059502,568.1666506859872,2,2,Lagos,Ikorodu
NGA.25.13_1,2025,Sep-Dec,2.0,1754793.30302669,0.3008902153043235,1029.5108377868537,29.02194712931328,12.558044375469567,0.2637269239496605,582.2066226111299,0,0,Lagos,Kosofe
NGA.25.14_1,2025,Sep-Dec,2.0,1614417.84026726,0.1768489008614451,1050.6524459586294,28.67875461985967,4.458484937435402,0.1217845685803398,586.4186909810262,2,5,Lagos,Lagos Island
NGA.25.15_1,2025,Sep-Dec,2.0,1181866.25792563,0.1528974949001892,992.2144968386324,31.702830387383056,18.713010819364555,0.1357723189691401,538.3555024442064,0,0,Lagos,Mainland
NGA.25.16_1,2025,Sep-Dec,2.0,2481227.91465523,0.1837983674301385,1029.807691225174,34.418157070438724,19.027344278069496,0.1723756763768437,576.769322508331,0,0,Lagos,Mushin
NGA.25.17_1,2025,Sep-Dec,2.0,1767766.03660339,0.3734421662984489,838.4218999604603,27.183742309359346,3.4219740310194298,0.3386660867493266,451.7652309089731,2,2,Lagos,Ojo
NGA.25.18_1,2025,Sep-Dec,2.0,2130182.64459418,0.2702911287878786,966.504952831753,33.027435536213225,14.332933434512874,0.2571984259259257,531.2711735815469,0,0,Lagos,Oshodi/Isolo
NGA.25.19_1,2025,Sep-Dec,2.0,1924730.28762624,0.1632453130596747,1044.7906760025146,32.93040622158631,21.815402574154547,0.1483900924134966,578.0842092728553,0,0,Lagos,Shomolu
NGA.25.1_1,2025,Sep-Dec,2.0,1939640.74290893,0.1801822409126063,890.176761947676,32.98538011599563,13.965191527641016,0.1838178344934261,483.7605704193327,0,0,Lagos,Agege
NGA.25.20_1,2025,Sep-Dec,2.0,2392691.72827853,0.158181607211354,955.9925560039115,34.74440129827104,17.632463584047645,0.1486149831649831,521.7732394315402,0,0,Lagos,Surulere
NGA.25.2_1,2025,Sep-Dec,2.0,2694853.21467802,0.1539446668928853,800.5043721391356,34.005477217340044,19.809616809300664,0.1342962108358782,414.166490053277,0,0,Lagos,Ajeromi/Ifelodun
NGA.25.3_1,2025,Sep-Dec,2.0,3843415.49902848,0.2715917107850884,852.9071199689363,29.74136064044412,10.095144729973445,0.2588569869532389,451.9499785977232,2,3,Lagos,Alimosho
NGA.25.4_1,2025,Sep-Dec,2.0,985666.16489472,0.3117280991645979,856.1372286029901,28.35803535159589,7.249908278585202,0.2770513402769231,459.2681792392983,1,1,Lagos,Amuwo Odofin
NGA.25.5_1,2025,Sep-Dec,2.0,980808.12182016,0.1803116725748681,914.1040654979722,29.24992316864001,23.386188352978653,0.1637607294868575,488.0818836296802,0,0,Lagos,Apapa
